ID,Severity,Location,Affected claim,Evidence,Why it matters,Required action,New data needed,Verification criterion,Panel consensus,Status
REV-M01,Major,"Cost Results; Ticket Methods; Limitations","Empirical optimal timing","Earlier candidate tickets are cohort estimates and the primary anchor uses future information","The argmin is not a causal action optimum","Prospectively assign candidate regions and measure realized renewal outcomes",Yes,"Observed outcomes validate the low-regret ordering under changed actions",5/5,Open
REV-M02,Major,"Abstract; RGB Results; Discussion","Front RGB adds information beyond time","Front was selected after nine camera-group comparisons","Post-selection can create an optimistic camera finding","Pre-specify and confirm front on untouched experiments",Yes,"Paired accuracy and regret intervals improve over online time control",5/5,Open
REV-M03,Major,"Temporal control Methods","Visual information beyond operational timing","Normalized progress uses the future cycle boundary","The comparator is diagnostic rather than deployable","Add an online-available time and sensor baseline","Partial","Identical held-out folds show paired results against the online baseline",4/5,Open
REV-M04,Major,"Cohort Methods; Limitations","Transfer across experiments","One apparatus; 11 experiments; short observation period","Date holdout does not establish hardware or seasonal generalization","Add temporal or external-apparatus confirmation",Yes,"Locked performance reported on a predefined external cohort",4/5,Open
REV-M05,Major,"Image processing; Fig. 3","RGB captures frost morphology","Colour and gradient features may encode exposure or background","Camera dependence has a nuisance-based explanation","Run illumination and coil-region ablations","No for first audit","Increment survives nuisance perturbation and depends on coil region",4/5,Open
REV-M06,Major,"Model development; Statistics","Developmental LOEO reflects a frozen pipeline","Models tasks thresholds and camera groups were inspected","Pre-specified and exploratory evidence are not fully reconstructable","Publish analysis chronology and lock future confirmation","No for documentation","Every result is tagged as predefined development or exploratory",5/5,Open
REV-M07,Major,"Cost definition; Sensitivity","Regret has economic meaning","Service weight is fixed from median clean COP","Optimal regions may change with the value of unserved heat","Add compact weight and ticket sensitivity surface",No,"Stable and sensitive cycles are reported across a declared range",3/5,Open
REV-M08,Major,"Introduction; References","Novel integration fills a verified gap","Closest literature has not received full-text comparative audit","Novelty rests on accurate nearest-prior-art comparison","Complete full-text audit and comparison table",No,"Each novelty statement has a full-text evidence anchor",4/5,Open
REV-M09,Major,"Data and Code availability","Framework is reproducible","No archival DOI frozen environment or final data record","Reviewers cannot yet reproduce local results","Freeze release environment source data and access record",No,"Clean checkout reproduces core tables and figures",4/5,Open
REV-m01,Minor,"Fig. 3; figure legends","Camera groups are interpretable","Some group labels are ambiguous and standalone legends are absent","Readers should not need code to decode a figure","Rename groups and add complete legends",No,"Independent reader can interpret every panel",3/5,Open
